Year,Value,UNIT_MEASURE,SERIES
2000,12.67419,PT,DT_TDS_DECT
2001,11.979,PT,DT_TDS_DECT
2002,5.93503,PT,DT_TDS_DECT
2003,5.22393,PT,DT_TDS_DECT
2004,4.11623,PT,DT_TDS_DECT
2005,3.58475,PT,DT_TDS_DECT
2006,3.34136,PT,DT_TDS_DECT
2007,3.1481,PT,DT_TDS_DECT
2008,2.70532,PT,DT_TDS_DECT
2009,3.28689,PT,DT_TDS_DECT
2010,3.629,PT,DT_TDS_DECT
2011,3.68589,PT,DT_TDS_DECT
2012,4.4527,PT,DT_TDS_DECT
2013,7.053,PT,DT_TDS_DECT
2014,7.7323,PT,DT_TDS_DECT
2015,7.2828,PT,DT_TDS_DECT
2016,6.471,PT,DT_TDS_DECT
2017,7.4196,PT,DT_TDS_DECT
2018,6.8138,PT,DT_TDS_DECT
2019,6.0584,PT,DT_TDS_DECT
2020,6.2016,PT,DT_TDS_DECT
