Year,Value,UNIT_MEASURE,SERIES
2000,29.17,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2001,14.99,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2002,14.99,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2003,14.99,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2004,14.99,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2005,14.99,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2006,14.99,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2007,14.99,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2008,14.99,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2009,14.99,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2010,14.99,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2011,16.33,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2012,18.03,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2013,17.2,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2014,17.35,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2015,18.35,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2016,17.18,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2017,17.93,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2018,19.07,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2019,17.63,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
2020,17.86,Postotak,Udio dodane vrijednosti srednje i visokotehnološke proizvodnje u ukupnoj dodanoj vrijednosti
