Year,SERIES,UNIT_MEASURE,Value
2000,AG_LND_FRSTN,Thousands of hectares,2111.65
2010,AG_LND_FRSTN,Thousands of hectares,2102.66
2015,AG_LND_FRSTN,Thousands of hectares,2160.5
2016,AG_LND_FRSTN,Thousands of hectares,2176.51
2017,AG_LND_FRSTN,Thousands of hectares,2187.91
2018,AG_LND_FRSTN,Thousands of hectares,2187.91
2019,AG_LND_FRSTN,Thousands of hectares,2187.91
2020,AG_LND_FRSTN,Thousands of hectares,2187.91
2000,AG_LND_FRST,Percent,41.24316
2010,AG_LND_FRST,Percent,41.06758
2015,AG_LND_FRST,Percent,42.19727
2016,AG_LND_FRST,Percent,42.50996
2017,AG_LND_FRST,Percent,42.73262
2018,AG_LND_FRST,Percent,42.73262
2019,AG_LND_FRST,Percent,42.73262
2020,AG_LND_FRST,Percent,42.73262
2010,AG_LND_TOTL,Thousands of hectares,5120.0
2015,AG_LND_TOTL,Thousands of hectares,5120.0
2016,AG_LND_TOTL,Thousands of hectares,5120.0
2017,AG_LND_TOTL,Thousands of hectares,5120.0
2018,AG_LND_TOTL,Thousands of hectares,5120.0
2019,AG_LND_TOTL,Thousands of hectares,5120.0
2020,AG_LND_TOTL,Thousands of hectares,5120.0
