Year,SERIES,UNIT_MEASURE,Врста производа,Value
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,6.20325
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,6.52651
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,6.98936
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,8.36171
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,8.58584
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,8.5121
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,9.59811
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,9.84437
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,11.03524
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,10.76953
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,10.43052
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,10.95079
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,10.80053
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,11.64394
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,11.99978
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,12.87167
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,13.46676
2017,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Без подјеле,14.03086
2000,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,1.83865
2001,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,1.99191
2002,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.06105
2003,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,1.64703
2004,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.20122
2005,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.20271
2006,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.27674
2007,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.07786
2008,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.36453
2009,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.26643
2010,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.22894
2011,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.25276
2012,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.04753
2013,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.41833
2014,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.32517
2015,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.33974
2016,"Потрошња домаћих материјала по становнику, према врсти сировине",Тоне,Биомаса,2.38356
