Year,Value,UNIT_MEASURE,SERIES
2002,,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2003,,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2004,,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2005,0.6115,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2006,,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2007,,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2008,,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2009,,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2010,12.1442,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2011,,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2012,,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2013,,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2014,,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2015,0.8117,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2016,,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2017,,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2018,11.2733,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2019,,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2020,,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
2021,,Konstantni američki dolari,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primaocima (milioni konstantnih američkih dolara iz 2023. godine)"
