Year,SERIES,UNIT_MEASURE,Value
2008,ST_EEV_ACCSEEA,NUMBER,0
2009,ST_EEV_ACCSEEA,NUMBER,0
2010,ST_EEV_ACCSEEA,NUMBER,0
2011,ST_EEV_ACCSEEA,NUMBER,0
2012,ST_EEV_ACCSEEA,NUMBER,0
2013,ST_EEV_ACCSEEA,NUMBER,0
2014,ST_EEV_ACCSEEA,NUMBER,0
2015,ST_EEV_ACCSEEA,NUMBER,0
2016,ST_EEV_ACCSEEA,NUMBER,0
2017,ST_EEV_ACCSEEA,NUMBER,0
2018,ST_EEV_ACCSEEA,NUMBER,0
2019,ST_EEV_ACCSEEA,NUMBER,0
2008,ST_EEV_ACCTSA,NUMBER,0
2009,ST_EEV_ACCTSA,NUMBER,0
2010,ST_EEV_ACCTSA,NUMBER,0
2011,ST_EEV_ACCTSA,NUMBER,0
2012,ST_EEV_ACCTSA,NUMBER,0
2013,ST_EEV_ACCTSA,NUMBER,0
2014,ST_EEV_ACCTSA,NUMBER,0
2015,ST_EEV_ACCTSA,NUMBER,0
2016,ST_EEV_ACCTSA,NUMBER,0
2017,ST_EEV_ACCTSA,NUMBER,0
2018,ST_EEV_ACCTSA,NUMBER,0
2019,ST_EEV_ACCTSA,NUMBER,0
2008,ST_EEV_STDACCT,NUMBER,0
2009,ST_EEV_STDACCT,NUMBER,0
2010,ST_EEV_STDACCT,NUMBER,0
2011,ST_EEV_STDACCT,NUMBER,0
2012,ST_EEV_STDACCT,NUMBER,0
2013,ST_EEV_STDACCT,NUMBER,0
2014,ST_EEV_STDACCT,NUMBER,0
2015,ST_EEV_STDACCT,NUMBER,0
2016,ST_EEV_STDACCT,NUMBER,0
2017,ST_EEV_STDACCT,NUMBER,0
2018,ST_EEV_STDACCT,NUMBER,0
2019,ST_EEV_STDACCT,NUMBER,0
