Year,SERIES,UNIT_MEASURE,Value
2005,EN_WBE_PMPN,KM2,196.802768
2006,EN_WBE_PMPN,KM2,199.240905
2007,EN_WBE_PMPN,KM2,198.621679
2008,EN_WBE_PMPN,KM2,195.98815
2009,EN_WBE_PMPN,KM2,196.755711
2010,EN_WBE_PMPN,KM2,195.980924
2011,EN_WBE_PMPN,KM2,194.373977
2012,EN_WBE_PMPN,KM2,192.717187
2013,EN_WBE_PMPN,KM2,191.539535
2014,EN_WBE_PMPN,KM2,194.156985
2015,EN_WBE_PMPN,KM2,196.933384
2016,EN_WBE_PMPN,KM2,198.21211
2017,EN_WBE_PMPN,KM2,200.734893
2018,EN_WBE_PMPN,KM2,203.146127
2005,EN_WBE_PMPR,PT,0.384224244140625
2006,EN_WBE_PMPR,PT,0.389043779296875
2007,EN_WBE_PMPR,PT,0.3878929335937499
2008,EN_WBE_PMPR,PT,0.3827478632812499
2009,EN_WBE_PMPR,PT,0.3842341425781249
2010,EN_WBE_PMPR,PT,0.3827234374999999
2011,EN_WBE_PMPR,PT,0.379595548828125
2012,EN_WBE_PMPR,PT,0.3763736894531249
2013,EN_WBE_PMPR,PT,0.3740766289062499
2014,EN_WBE_PMPR,PT,0.37920499609375
2015,EN_WBE_PMPR,PT,0.3846276425781249
2016,EN_WBE_PMPR,PT,0.387125658203125
2017,EN_WBE_PMPR,PT,0.39205578515625
2018,EN_WBE_PMPR,PT,0.39676751171875
2005,EN_WBE_PMNR,KM2,196.722813
2006,EN_WBE_PMNR,KM2,199.190415
2007,EN_WBE_PMNR,KM2,198.601182
2008,EN_WBE_PMNR,KM2,195.966906
2009,EN_WBE_PMNR,KM2,196.727881
2010,EN_WBE_PMNR,KM2,195.9544
2011,EN_WBE_PMNR,KM2,194.352921
2012,EN_WBE_PMNR,KM2,192.703329
2013,EN_WBE_PMNR,KM2,191.527234
2014,EN_WBE_PMNR,KM2,194.152958
2015,EN_WBE_PMNR,KM2,196.929353
2016,EN_WBE_PMNR,KM2,198.208337
2017,EN_WBE_PMNR,KM2,200.732562
2018,EN_WBE_PMNR,KM2,203.144966
